Bene_Geo_Lvl,Bene_Geo_Desc,Bene_Geo_Cd,Bene_Age_Lvl,Bene_Demo_Lvl,Bene_Demo_Desc,Bene_MCC,Prvlnc,Tot_Mdcr_Stdzd_Pymt_PC,Tot_Mdcr_Pymt_PC,Hosp_Readmsn_Rate,ER_Visits_Per_1000_Benes
State,Alabama,01,65+,All,All,0 to 1,0.2273,2079.0975,1861.7918,0.045,123.3826
State,Alabama,01,65+,All,All,2 to 3,0.2883,5445.4478,4943.8682,0.0574,302.1941
State,Alabama,01,65+,All,All,4 to 5,0.2629,10156.8657,9258.3928,0.0899,558.4026
State,Alabama,01,65+,All,All,6+,0.2214,27498.8786,25121.0066,0.2018,1538.4774
State,Alabama,01,65+,Dual Status,Medicare Only,0 to 1,0.2402,2051.7231,1836.0765,0.0448,114.5125
State,Alabama,01,65+,Dual Status,Medicare Only,2 to 3,0.2992,5338.9221,4849.7292,0.0552,279.9685
State,Alabama,01,65+,Dual Status,Medicare Only,4 to 5,0.2608,9925.0305,9061.224,0.0886,520.0097
State,Alabama,01,65+,Dual Status,Medicare Only,6+,0.1998,26339.9087,24120.8796,0.1952,1427.1608
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,0 to 1,0.1466,2360.0342,2125.7018,,214.4148
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,2 to 3,0.2204,6351.1923,5744.2936,0.0723,491.1687
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,4 to 5,0.2759,11529.4099,10425.6997,0.0966,785.7014
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,6+,0.3571,31560.2994,28625.7883,0.221,1928.5681
State,Alabama,01,<65,All,All,0 to 1,0.3682,2318.3839,2076.4547,0.0654,428.9734
State,Alabama,01,<65,All,All,2 to 3,0.2735,7238.5977,6550.5552,0.1106,872.6206
State,Alabama,01,<65,All,All,4 to 5,0.204,13201.7913,12044.9797,0.1609,1307.8435
State,Alabama,01,<65,All,All,6+,0.1543,33388.0801,30882.8458,0.2674,2899.5505
State,Alabama,01,<65,Dual Status,Medicare Only,0 to 1,0.4029,2144.6947,1845.9575,0.068,291.1913
State,Alabama,01,<65,Dual Status,Medicare Only,2 to 3,0.2739,6911.0907,6023.0931,0.0876,619.2124
State,Alabama,01,<65,Dual Status,Medicare Only,4 to 5,0.1973,12408.5978,10934.2454,0.1333,977.5038
State,Alabama,01,<65,Dual Status,Medicare Only,6+,0.126,30239.5921,27510.4072,0.2403,2153.7979
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,0 to 1,0.3293,2557.1164,2393.2688,0.0636,618.3523
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,2 to 3,0.273,7607.7615,7145.1072,0.1308,1158.2608
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,4 to 5,0.2116,14032.7021,13208.5307,0.1843,1653.8913
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,6+,0.1861,35782.84,33447.944,0.2837,3466.7747
State,Alabama,01,All,All,All,0 to 1,0.2576,2152.445,1927.5915,0.0554,217.0541
State,Alabama,01,All,All,All,2 to 3,0.2851,5814.1814,5274.2586,0.0747,419.4935
State,Alabama,01,All,All,All,4 to 5,0.2503,10689.0155,9745.3937,0.1084,689.3795
State,Alabama,01,All,All,All,6+,0.207,28439.8688,26041.6465,0.2153,1755.9528
State,Alabama,01,All,Dual Status,Medicare Only,0 to 1,0.2636,2072.1057,1838.2427,0.0524,153.2465
State,Alabama,01,All,Dual Status,Medicare Only,2 to 3,0.2955,5547.906,5005.7011,0.0618,325.0632
State,Alabama,01,All,Dual Status,Medicare Only,4 to 5,0.2517,10204.2133,9271.7741,0.0958,571.4376
State,Alabama,01,All,Dual Status,Medicare Only,6+,0.1892,26712.3787,24444.6232,0.2004,1496.564
State,Alabama,01,All,Dual Status,Medicare and Medicaid,0 to 1,0.2348,2493.4715,2306.8618,0.0606,487.9063
State,Alabama,01,All,Dual Status,Medicare and Medicaid,2 to 3,0.2458,7025.0473,6495.5019,0.1112,848.9073
State,Alabama,01,All,Dual Status,Medicare and Medicaid,4 to 5,0.2449,12573.7109,11586.6162,0.1437,1147.8851
State,Alabama,01,All,Dual Status,Medicare and Medicaid,6+,0.2745,32942.2961,30204.0332,0.2452,2432.0082
State,Alabama,01,65+,Sex,Female,0 to 1,0.2111,2349.8555,2105.7147,0.037,128.3171
State,Alabama,01,65+,Sex,Female,2 to 3,0.302,5456.5678,4948.7239,0.0482,309.3152
State,Alabama,01,65+,Sex,Female,4 to 5,0.2642,10091.7353,9170.1379,0.0843,584.2382
